date;trend1;trend2;trend3
2013-01;30;31;6
2013-02;25;34;5
2013-03;19;30;4
2013-04;26;19;2
2013-05;31;18;5
2013-06;18;28;4
2013-07;17;34;2
2013-08;11;26;4
2013-09;16;27;2
2013-10;21;37;3
2013-11;25;34;6
2013-12;27;33;6
2014-01;29;32;10
2014-02;22;31;3
2014-03;34;25;4
2014-04;26;23;6
2014-05;26;27;5
2014-06;18;22;3
2014-07;17;28;2
2014-08;12;31;4
2014-09;15;31;4
2014-10;16;32;6
2014-11;27;32;8
2014-12;32;28;7
2015-01;35;27;6
2015-02;32;31;5
2015-03;40;26;17
2015-04;38;22;6
2015-05;36;20;5
2015-06;24;23;3
2015-07;18;27;3
2015-08;16;27;2
2015-09;16;32;3
2015-10;21;30;3
2015-11;38;30;7
2015-12;54;29;8
2016-01;55;26;4
2016-02;62;34;6
2016-03;58;26;4
2016-04;66;24;3
2016-05;48;24;7
2016-06;46;24;7
2016-07;23;23;4
2016-08;13;27;4
2016-09;18;30;5
2016-10;39;25;9
2016-11;56;19;26
2016-12;70;26;28
2017-01;62;34;23
2017-02;65;31;14
2017-03;62;20;5
2017-04;88;21;3
2017-05;85;20;8
2017-06;59;28;8
2017-07;34;27;5
2017-08;24;22;5
2017-09;24;30;7
2017-10;45;29;10
2017-11;68;27;15
2017-12;79;34;8
2018-01;80;35;5
2018-02;71;27;8
2018-03;72;25;15
2018-04;77;21;17
2018-05;77;23;43
2018-06;65;27;17
2018-07;29;24;24
2018-08;24;26;100
2018-09;37;30;45
2018-10;59;33;35
2018-11;89;30;20
2018-12;100;27;22
2019-01;98;29;27
2019-02;92;26;24
2019-03;87;26;25
2019-04;92;21;20
2019-05;91;18;20
2019-06;61;25;19
2019-07;38;25;14
2019-08;37;23;16
2019-09;38;27;12
2019-10;48;24;8
2019-11;57;26;13
2019-12;65;23;10
2020-01;68;26;7
2020-02;54;26;9
2020-03;67;35;14
2020-04;68;57;11
2020-05;75;51;15
2020-06;68;39;8
2020-07;41;31;9
2020-08;35;45;7
2020-09;32;100;6
2020-10;39;72;10
2020-11;58;58;5
2020-12;59;61;6
